text,rating,review_length,sentiment
"While I've purchased items from Amazon for years, I rarely write reviews. I felt compelled to write one because, although there are only a few reviews at this point, I have never seen such a good product get such bad reviews. I'm hoping as more people purchase these, the star rating will be more accurate of the product itself. I'll address the three biggest complaints I've read from others:Sound Quality: I think these headphones sound great. I've never owned an expensive pair so I'm not able to compare them to higher-end offerings, but I've owned dozens of cheap and mid-range headphones in the 15-50 range. I'm not an audiophile or a musician so if I'm missing something that should be coming through, but isn't, I'm fine with my ignorance. I would say they're slightly better than Apple's buds (which I liked very much and used for years, most recently using their redesigned ones for about a year). There's no tinny, listening through a can sound that's all-too-common with headphones in this price range. As far as people saying they don't compare to Apple's buds, well I don't know, maybe they have some crazy exclusive version of Apple's buds that are amazing. But compared to the regular earpods, I think Amazon's headphones actually sound a bit better. They provide a nice, full sound and represent highs, lows and mids equally well (mainly listening to metal).Fit and Feel: Some people have complained about these falling, or feeling like they're going to fall, out of their ears. There's some validity to this, although obviously it depends on your specific ears. I don't feel like they're going to fall out at all, but if I give the cord a tug, they don't stay as secure as my Apple buds.Read more",3,296,Neutral
Great speaker and the sound is great. Use it every day. Love being able to use Alexa when attached to my network.,5,22,Positive
"I bought these for a couple of reasons.First, I wanted an earbud that was NOT designed as noise cancelling. I hate having to shove headphones into my brain to use them. Apparently, a lot of people are under the assumption that these are supposed to be noise cancelling or something which they are not. They are simple earbuds. I hate not being able to hear what is going on around me and don't feel safe in public using headphones that block everything else out. These are designed just like the old style earbuds that you stick in your ears but they are more comfortable. Maybe I have small ears or something but they could never fall out or dislodge from my ears. They don't cancel the outside noise but they sit in my ears exactly as they are supposed to so the sound travels right into my ears.Second, I really like the magnets and tangle free aspects of the headphones. I use headphones while I work and the magnets allow me to hang the headphones easily when I am finished with them. The flat cord and magnets also mean the headphones never really tangle when you put them in a bag or wherever. Awesome design.Finally, the sound I get out of these seems pretty average. I would compare them to the stock Apple iPhone earbuds or a set of Sony earbuds. Nothing special. They are only 25 and a lot of that is the fact these were just released and that you are paying for the design as far as magnets in the ear buds and the nice flat cable. Don't expect them to perform like 100 headphones because they aren't designed to perform like that. They are just a nice simple set of earbuds that will sound good to most people. The magnets and tangle free cord are awesome and they are really quite comfortable.Read more",5,317,Positive
This is such a great product I have two of them! Would highly recommend.,5,14,Positive
"Disappointing Kindle.Charging is sometimes interrupted by loss of connection between cover and Kindle. Complained and they sent me another cover. It works better, but still looses connectivity from time to time. Have to stop and disconnect cover and reconnect it. That usually stops the problem for a while.Also, It is not clear from the sales materials that the Premium Leather cover is suede. it shows scratches from fingernails.On the plus side, the Oasis screen is good and the quality of the text is excellent. Lighting is even and reading is easy on this device.",3,94,Neutral
"I love everything about this case except for how it fits on the Echo Dot. I was expecting a snug fit however, it is very lose and so you have to make sure that if you pick it up to move it (and the power cable is disconnected), the dot will fall out of the case.",4,56,Positive
It is a quality product and has clear crisp sound. Best part it can be carried in any satchel. Sound is loud enough for a back yard gathering.,5,28,Positive
Bought as a family gift. We use it all the time now. Very helpful and covenient,5,16,Positive
It was easy to put on and line up.Had a hair in it and had to take it of and re-clean.No problem getting it off and back on again. It did not loose stickiness.NO bubbles is correct.I don't think it helps with the glare.The screen does look a little duller but I still have problems seeing it in daylight.I think it is one of the better screen protectors out there.,5,70,Positive
"While I've purchased items from Amazon for years, I rarely write reviews. I felt compelled to write one because, although there are only a few reviews at this point, I have never seen such a good product get such bad reviews. I'm hoping as more people purchase these, the star rating will be more accurate of the product itself. I'll address the three biggest complaints I've read from others:Sound Quality: I think these headphones sound great. I've never owned an expensive pair so I'm not able to compare them to higher-end offerings, but I've owned dozens of cheap and mid-range headphones in the 15-50 range. I'm not an audiophile or a musician so if I'm missing something that should be coming through, but isn't, I'm fine with my ignorance. I would say they're slightly better than Apple's buds (which I liked very much and used for years, most recently using their redesigned ones for about a year). There's no tinny, listening through a can sound that's all-too-common with headphones in this price range. As far as people saying they don't compare to Apple's buds, well I don't know, maybe they have some crazy exclusive version of Apple's buds that are amazing. But compared to the regular earpods, I think Amazon's headphones actually sound a bit better. They provide a nice, full sound and represent highs, lows and mids equally well (mainly listening to metal).Fit and Feel: Some people have complained about these falling, or feeling like they're going to fall, out of their ears. There's some validity to this, although obviously it depends on your specific ears. I don't feel like they're going to fall out at all, but if I give the cord a tug, they don't stay as secure as my Apple buds.Read more",3,296,Neutral
"The Kindle is my first e-ink reader. I own an iPad, an iPhone, and have owned a Windows-based phone in the past that I used as an ereader.My overall impression of the device is good.The good:I'd honestly rather read linear (read from page one to the end, one page at a time) fiction from it than a book, because I can't always get comfortable with a book. Hardcovers are sometimes a bit heavy, and paperbacks don't always lie open easily. The Kindle is incredibly light and thin. I can hold it in one hand easily. The page turn buttons are conveniently located. Page-turns aren't instant, but they're probably quicker than turning a physical page in a printed book (there are just a lot more page-turns unless you choose a small font). The contrast is better than other ereaders I've seen. There is zero eye strain in good light. My eyesight isn't the greatest and I like being able to increase the font size and read without glasses. I love being able to browse the Kindle store and read samples before deciding to purchase. The experimental browser is surprisingly usable, but isn't great. It is useful for browsing wikipedia and blogs. The biggest drawback to the browser is the awkward pointer navigation, using the 5-way pad. It syncs your furthest read page over the internet so you can pick up where you left off using your iPhone or iPad.The so-so:The kindle store could use more categories and sorting options. You can't sort by top rated, and there is no category for alternate histories, for example. Finding a very-specific type of fiction relies on keyword searches, which don't do a great job. The wifi sometimes doesn't connect before it times-out.Read more",3,289,Neutral
"Much better than the echo dot. However, the fact that you have to touch the button to activate it instead of just talking to it is a bit annoying. Speaker is fairly powerful for its size.",3,36,Neutral
"While I've purchased items from Amazon for years, I rarely write reviews. I felt compelled to write one because, although there are only a few reviews at this point, I have never seen such a good product get such bad reviews. I'm hoping as more people purchase these, the star rating will be more accurate of the product itself. I'll address the three biggest complaints I've read from others:Sound Quality: I think these headphones sound great. I've never owned an expensive pair so I'm not able to compare them to higher-end offerings, but I've owned dozens of cheap and mid-range headphones in the 15-50 range. I'm not an audiophile or a musician so if I'm missing something that should be coming through, but isn't, I'm fine with my ignorance. I would say they're slightly better than Apple's buds (which I liked very much and used for years, most recently using their redesigned ones for about a year). There's no tinny, listening through a can sound that's all-too-common with headphones in this price range. As far as people saying they don't compare to Apple's buds, well I don't know, maybe they have some crazy exclusive version of Apple's buds that are amazing. But compared to the regular earpods, I think Amazon's headphones actually sound a bit better. They provide a nice, full sound and represent highs, lows and mids equally well (mainly listening to metal).Fit and Feel: Some people have complained about these falling, or feeling like they're going to fall, out of their ears. There's some validity to this, although obviously it depends on your specific ears. I don't feel like they're going to fall out at all, but if I give the cord a tug, they don't stay as secure as my Apple buds.Read more",3,296,Neutral
When it works it's great but for some reason it doesn't always answer me When it doesn't answer me I turn off the tv and make sure no one else is talking and it still doesn't work at that time. It was easy to set up with the phone app. Doesn't seem to matter where the phone is when it isn't working. I've tried close and far and in between. So a case of great when it works and the pits when it doesn't,3,84,Neutral
"While I've purchased items from Amazon for years, I rarely write reviews. I felt compelled to write one because, although there are only a few reviews at this point, I have never seen such a good product get such bad reviews. I'm hoping as more people purchase these, the star rating will be more accurate of the product itself. I'll address the three biggest complaints I've read from others:Sound Quality: I think these headphones sound great. I've never owned an expensive pair so I'm not able to compare them to higher-end offerings, but I've owned dozens of cheap and mid-range headphones in the 15-50 range. I'm not an audiophile or a musician so if I'm missing something that should be coming through, but isn't, I'm fine with my ignorance. I would say they're slightly better than Apple's buds (which I liked very much and used for years, most recently using their redesigned ones for about a year). There's no tinny, listening through a can sound that's all-too-common with headphones in this price range. As far as people saying they don't compare to Apple's buds, well I don't know, maybe they have some crazy exclusive version of Apple's buds that are amazing. But compared to the regular earpods, I think Amazon's headphones actually sound a bit better. They provide a nice, full sound and represent highs, lows and mids equally well (mainly listening to metal).Fit and Feel: Some people have complained about these falling, or feeling like they're going to fall, out of their ears. There's some validity to this, although obviously it depends on your specific ears. I don't feel like they're going to fall out at all, but if I give the cord a tug, they don't stay as secure as my Apple buds.Read more",3,296,Neutral
"hard to use, and does not support Guam. online instructions not clear",1,12,Negative
"Good, but not overall as capable or comprehensive as I was hoping. Will continue to explore capabilities and Apps.",4,19,Positive
Like a previous reviewer mentioned it is fabric over hard plastic it is not a snug or tight fit. Good quality though.,3,22,Neutral
"Edit 6/15/17 After three months of use, I still don't love it. It works well, no complaints, but it marks up easily and the sides began flaking off. My original black cover had shown signs of wear due to repeatedly falling asleep with it folded back. I was much more careful with the merlot, and it showed more signs after a shorter period of time. And the flaky thing along the sides looks and feels just cheap. And for 90, I would expect real leather. So I switched back to my original black cover and I'm just letting it age with the device. I guess the plus side is that the merlot made me like the black cover more, but the downside is it cost 90 to do so. Ridiculous.As stated in the title, I love my Oasis. I've had it for about six months and, with the exception of the defective first one I received which was promptly replaced, I haven't had a problem out of it. I had gotten the black cover because black is my default choice, always. However, a couple of months ago I had gotten a screen protector and skin for the Oasis, and I just wasn't feeling the black cover anymore. I had considered the merlot (I think the walnut would feel nicer to the touch, but I despise brown leather) so I gave in after much consideration and ordered it. It didn't arrive with the bundle of things that it was supposedly shipped with, but after a quick call to customer service I had a new tracking number. It finally arrived today. I am disappointed to say that I don't love it. It smells funny, as I done remember my original doing. The color is duller than in the picture. Maybe my expectations had overblown due to the wait and the whole two tracking numbers thing, but I just don't love it.Read more",2,320,Negative
Like a previous reviewer mentioned it is fabric over hard plastic it is not a snug or tight fit. Good quality though.,3,22,Neutral
"Update on Dec 23 2013 - Please scroll to the very end of this review for 2 month use update. ...For those who are looking at getting the best tablet out there at the moment, this is the one you should be looking at.My profile: Heavy tablet users for personal and business purposes. I work on my tablet around 4-5 hours a day (Email / Documents / Spreadsheet / PDF ) and use it 1-2 hours for personal use such as watching movies or reading books/magazine. Tablet is my go-to device for all internet related search I do.I have the following and/or used the following before:1) iPad 12) iPad 23) iPad 44) iPad Mini5) Kindle Fire6) Kindle Fire HD7) Kindle Fire HD 8.98) Asus Transformer with Keyboard9) Nexus 7 First Gen10) iPad Air 16gb WifiAs you can see, I been through many devices and hope this review with my experience helps users decide if this is the right device for them. This will be an ongoing review for this device throughout this next year. For comparison sake, I will use last year's Kindle and iPad mini as they are the closest size to this HDX 7Speed (9/10):This is leaps and bounds faster than last year Kindle HD. Last year Kindle struggles to go through any HD video content I put in. This year's HDX able to play seamlessly all the HD 1080p contents I added. It is incredible how much the 2.2Ghz quad processor improved vs last year's model Dual 1.2Ghz.Screen (9/10):This is the biggest improvement over last year's model. The screen is in true HD 1080p (1920x1080). This means any HD content I throw at it will view in its intended resolution. The screen is crystal clear (much better than iPad mini) and the viewing angle is incredible.Read more",4,300,Positive
"For the price, you should be able to use as a speaker when talking on the phone. I had to use my daughter's Beats Pill for this function, therefore it's not worth all the hype.",2,35,Negative
"While I've purchased items from Amazon for years, I rarely write reviews. I felt compelled to write one because, although there are only a few reviews at this point, I have never seen such a good product get such bad reviews. I'm hoping as more people purchase these, the star rating will be more accurate of the product itself. I'll address the three biggest complaints I've read from others:Sound Quality: I think these headphones sound great. I've never owned an expensive pair so I'm not able to compare them to higher-end offerings, but I've owned dozens of cheap and mid-range headphones in the 15-50 range. I'm not an audiophile or a musician so if I'm missing something that should be coming through, but isn't, I'm fine with my ignorance. I would say they're slightly better than Apple's buds (which I liked very much and used for years, most recently using their redesigned ones for about a year). There's no tinny, listening through a can sound that's all-too-common with headphones in this price range. As far as people saying they don't compare to Apple's buds, well I don't know, maybe they have some crazy exclusive version of Apple's buds that are amazing. But compared to the regular earpods, I think Amazon's headphones actually sound a bit better. They provide a nice, full sound and represent highs, lows and mids equally well (mainly listening to metal).Fit and Feel: Some people have complained about these falling, or feeling like they're going to fall, out of their ears. There's some validity to this, although obviously it depends on your specific ears. I don't feel like they're going to fall out at all, but if I give the cord a tug, they don't stay as secure as my Apple buds.Read more",3,296,Neutral
"I have been enjoying the amazon tap for two weeks, and am still finding new things it will do",5,19,Positive
"Updated 12/8/2014One year in...This review is for the the no-ad 64 GB wifi-only HDX 8.9.I use a Galaxy S5 Android smartphone so the HDX is for media / web surfing / offline viewing for travel. Since I had already been using Amazon Prime and Prime Music it was a no brainer for me to use the HDX to fill the role of media / web surfing on a tablet.Be informed about the download limitations to this device. Amazon has been adding clarification to this which should help would-be purchasers make a more informed opinion. This wasn't as obvious as it should have been when I ordered mine so they're listening which is good.Be aware that their most popular Prime content *may* not be available to download (and save) to your HDX. You can save certain videos to your HDX but you won't know which ones until you buy an HDX and try it out. *** Edited 12/21/2013 You can now see a list of Prime movies and shows that can be downloaded to the device. That's an improvement and more clearly shows the available downloadable Prime content. +1 for Amazon. ***I was also under the assumption that you could download as many videos as you'd like with the limiting factor being the memory capacity of the HDX. Also NOT the case. So again, I bought the larger capacity HDX under this assumption. That was dumb on my part as it turns out because you're not limited by storage capacity. You're limited the NUMBER of downloads you can have on your device. Kids' content can be really short so you may find yourself running into that limitation, but most people never will.Read more",3,282,Neutral
This is a horrible an overpriced case. I've had this case for less than two weeks and it's already coming apart. The little rubber stitching around the case is falling off,1,31,Negative
"I will rate this Amazon Tap a five stars when the application to make the Alexa commands become remote, instead of manually pressing the command button on the unit itself.",4,30,Positive
"I like it but the most used app is Netflix. This Netflix app version is older and a pain to use. Why they have this outdated one, doesn't make any sense.",1,31,Negative
"I bought this tablet for its size, economical price point, and the ability to watch content offline. And it offers exactly that...but falls short on performance parameters. If you're price sensitive and are looking for a value tablet, large screen, and the ability to watch content offline, this is a great device to get. However, if you already have an earlier Kindle like the HDX 8.9 or even an earlier version of the Fire, I recommend keeping your tablet since this device wouldn't really be a worthwhile upgrade. I have been disappointed with several operating shortcomings of the device.The- constant freezing of the device,- slow speed to load apps,- significant lags when switching apps that only become worse as you load more stuff on the tablet,- erratic wifi connection that drops often and the ensuing trouble to connect back to the same network, and- the frequent need to reboot the device,all factors made this a frustrating device to own . The HDX is far better in every aspect, heck even the original Fire 7 runs better than this device.The only good things about this device are the screen size and the MicroSD slot. So if you're only watching videos on this, and would like to have the option of watching content offline when you're traveling, this tablet would be just fine. Otherwise, the HDX is still a better option, or you could get the 7 or 8 Fire models. Those are priced cheaper and work better.Original review is below---For the price point and size alone, the Fire HD 10 would seem like a good deal. For its performance, however, it falls short of expectations. I would probably rate it a 3.5 overall. If it wasn't for the price, the rating would have been even lower.Read more",3,296,Neutral
